==============================================================================================================
PHYSICS-OS FORENSIC LOC SWEEP v2 — AUTHORED CODE ONLY
Root: /home/brad/TiganticLabz/FRONT_VAULT/03_SOURCE/Main_Projects/physics-os
==============================================================================================================

Excluded vendored dirs: clawdbot-main, openzeppelin-contracts, vendor, worldcoin-id, zk_targets
Excluded data extensions: .7z, .avi, .bin, .bz2, .class, .csv, .dat, .db, .dll, .docx... (+45 more)

──────────────────────────────────────────────────────────────────────────────────────────────────────────────
SECTION 1: AUTHORED CODE — LANGUAGE BREAKDOWN
──────────────────────────────────────────────────────────────────────────────────────────────────────────────
Language               Files  Total Lines      Blank       Code    Size MB       %
──────────────────── ─────── ──────────── ────────── ────────── ────────── ───────
Python                 1,906      850,553    166,713    683,840      27.94   56.4%
Markdown                 529      239,838     68,125    171,713       8.05   15.9%
Rust                     313      132,120     18,134    113,986       4.67    8.8%
HTML                      76       98,624     10,386     88,238       4.27    6.5%
Text                      40       65,279     14,670     50,609       5.41    4.3%
Solidity                  89       34,223      4,110     30,113       1.25    2.3%
JavaScript               180       26,986      1,501     25,485       6.06    1.8%
YAML                     229       25,789      4,540     21,249       0.73    1.7%
Lean 4                    44        8,022      1,708      6,314       0.36    0.5%
TypeScript               106        7,409        894      6,515       0.24    0.5%
CSS                       31        5,013        608      4,405       0.29    0.3%
Shell                     27        4,412        623      3,789       0.17    0.3%
WGSL Shader               18        4,265        800      3,465       0.16    0.3%
CUDA                      11        3,721        568      3,153       0.12    0.2%
TOML                      40        2,244        367      1,877       0.07    0.1%
Docker                     5          418         95        323       0.01    0.0%
Circom                     2          118         17        101       0.00    0.0%
GLSL Shader                1           59          9         50       0.00    0.0%
Config                     1           50          7         43       0.00    0.0%
──────────────────── ─────── ──────────── ────────── ────────── ────────── ───────
TOTAL                  3,648    1,509,143    293,875  1,215,268      59.77    100%

──────────────────────────────────────────────────────────────────────────────────────────────────────────────
SECTION 2: AUTHORED CODE — DIRECTORY BREAKDOWN
──────────────────────────────────────────────────────────────────────────────────────────────────────────────
Directory                          Files  Total Lines       Code  Size MB         Primary
yang_mills_unified_proof               2          124         97     0.00          Lean 4
ai_scientist_output                    2          119         91     0.00          Lean 4
applied_physics_conservation_proof       1          119         91     0.00          Lean 4
docker                                 2          112         94     0.00           Shell
elite_yang_mills_proof                 1          108         85     0.00          Lean 4
biophysics_conservation_proof          1           96         73     0.00          Lean 4
elite_yang_mills_proof_v2              1           94         74     0.00          Lean 4
navier_stokes_proof                    1           93         72     0.00          Lean 4
materials_conservation_proof           1           91         71     0.00          Lean 4
coupled_conservation_proof             1           90         70     0.00          Lean 4
computational_methods_conservation_proof       1           88         68     0.00          Lean 4
geophysics_conservation_proof          1           83         65     0.00          Lean 4
astro_conservation_proof               1           83         65     0.00          Lean 4
navier_stokes_proof_v2                 1           78         59     0.00          Lean 4
statmech_stochastic_conservation_proof       1           78         63     0.00          Lean 4
gevulot                                1           77         62     0.00           Shell
models                                 1           73         69     0.00        Markdown
sweep_results                          1           71         53     0.00        Markdown
optics_conservation_proof              1           65         51     0.00          Lean 4
chemical_physics_conservation_proof       1           64         50     0.00          Lean 4
special_relativity_conservation_proof       1           64         51     0.00          Lean 4
profile_results                        1           59         52     0.00            Text
quantum_info_ext_conservation_proof       1           53         42     0.00          Lean 4
results                                1            9          6     0.00        Markdown
images                                 1            1          1     0.00        Markdown

──────────────────────────────────────────────────────────────────────────────────────────────────────────────
SECTION 3: ONTIC/ MODULE BREAKDOWN
──────────────────────────────────────────────────────────────────────────────────────────────────────────────
Module                        Files  Total Lines       Code
──────────────────────────── ────── ──────────── ──────────
cfd                             118       77,272     60,845
genesis                          87       41,928     33,099
exploit                          46       27,706     22,760
packs                            23       26,239     21,200
discovery                        47       24,919     20,607
platform                         40       15,474     12,705
types                            15       12,087      9,503
oracle                           32        9,937      8,094
zk                                9        9,821      8,161
condensed_matter                 40        9,442      7,516
mechanics                        23        8,662      6,967
ml_surrogates                    20        8,250      6,611
neural                           10        6,425      5,209
gpu                              17        5,978      4,789
algorithms                       15        5,721      4,644
hyperenv                         10        5,014      3,989
fusion                            9        4,959      4,010
core                             15        4,723      3,801
validation                        6        4,406      3,695
docs                              5        4,398      3,631
simulation                        6        4,360      3,507
quantum                          13        4,311      3,418
intent                            8        4,204      3,434
cuda                              9        4,065      3,297
numerics                         13        3,932      3,134
digital_twin                      6        3,866      3,103
qtt                              11        3,858      3,200
sovereign                        11        3,563      2,863
guidance                          6        3,556      2,795
hypersim                          7        3,462      2,758
plasma                           15        3,348      2,656
geophysics                       15        3,243      2,521
integration                       5        3,219      2,645
fieldos                           7        3,214      2,554
hardware                          9        3,169      2,542
em                               15        3,166      2,527
materials                        15        3,106      2,422
benchmarks                        7        3,099      2,513
astro                            14        3,066      2,332
provenance                        7        3,056      2,432
  ... + 65 more                 293       85,843     68,854
──────────────────────────── ────── ──────────── ──────────
ONTIC TOTAL                1079      470,067    377,343

──────────────────────────────────────────────────────────────────────────────────────────────────────────────
SECTION 4: TOP 30 LARGEST AUTHORED FILES
──────────────────────────────────────────────────────────────────────────────────────────────────────────────
  1.  40,000 lines   1089.3 KB  data/shakespeare.txt
  2.  39,315 lines   1164.4 KB  docs/research/Ontic_CFD_Book.md
  3.  23,546 lines    580.5 KB  docs/reports/zksync_halo2_report.md
  4.  23,176 lines    879.2 KB  docs/api/ontic/cfd/index.html
  5.  13,285 lines    269.4 KB  docs/reports/fluidelite_report.md
  6.  13,248 lines    399.3 KB  etherfi_oracle_frontrun_poc/lib/forge-std/src/safeconsole.sol
  7.  10,142 lines    338.2 KB  lUX/lUX/pnpm-lock.yaml
  8.   7,248 lines   1261.7 KB  fluidelite/data/wikitext2_test.txt
  9.   5,781 lines   1260.3 KB  data/wikitext2_test.txt
 10.   5,143 lines    265.7 KB  data/TiganticLabz.txt
 11.   4,953 lines   1521.5 KB  data/Invarian-Future_Chronicle_Etymology.txt
 12.   4,483 lines    338.9 KB  QTeneT/docs/05_ALGORITHM_CATALOG.md
 13.   4,216 lines    191.1 KB  PLATFORM_SPECIFICATION.md
 14.   4,041 lines    154.7 KB  products/facial_plastics/ui/api.py
 15.   3,882 lines    126.0 KB  fluidelite/FINDINGS.md
 16.   3,828 lines    672.3 KB  sovereign-ui/.svelte-kit/output/client/_app/immutable/chunks/BtCAaDxU.js
 17.   3,655 lines    117.5 KB  sovereign-ui/.svelte-kit/output/server/index.js
 18.   3,231 lines    120.0 KB  docs/api/ontic/core/index.html
 19.   2,921 lines     81.9 KB  sovereign-ui/.svelte-kit/output/server/chunks/index2.js
 20.   2,917 lines    105.9 KB  ontic/zk/fezk_elite.py
 21.   2,917 lines    115.1 KB  docs/architecture/Sovereign_UI.md
 22.   2,728 lines     96.6 KB  tests/test_integration.py
 23.   2,534 lines     89.1 KB  data/sovereign-preview.html
 24.   2,500 lines    129.3 KB  etherfi_oracle_frontrun_poc/lib/forge-std/src/Vm.sol
 25.   2,377 lines     91.7 KB  scripts/gauntlets/tig011a_multimechanism.py
 26.   2,366 lines     74.5 KB  sovereign-ui/pnpm-lock.yaml
 27.   2,299 lines     86.3 KB  experiments/pwa_engine/core.py
 28.   2,295 lines     83.5 KB  ontic/zk/fluidelite_circuit_analyzer.py
 29.   2,260 lines     72.6 KB  ontic/cfd/qtt_triton_kernels_v2.py
 30.   2,210 lines     79.6 KB  products/facial_plastics/plan/compiler.py

==============================================================================================================
EXECUTIVE SUMMARY — AUTHORED CODE ONLY
==============================================================================================================
  Authored source files:            3,648
  Authored total lines:         1,509,143
  Authored code (non-blank):    1,215,268
  Authored size on disk:            59.77 MB
  Vendored files excluded:         43,365
  Vendored lines excluded:      9,038,213
  Data/binary files skipped:        6,821
  Other non-source skipped:        29,615
  ontic/ modules:                 105
  Languages detected:                  19

  AUTHORED LINES BY LANGUAGE:
    Python                  850,553 lines  (1,906 files)
    Markdown                239,838 lines  (529 files)
    Rust                    132,120 lines  (313 files)
    HTML                     98,624 lines  (76 files)
    Text                     65,279 lines  (40 files)
    Solidity                 34,223 lines  (89 files)
    JavaScript               26,986 lines  (180 files)
    YAML                     25,789 lines  (229 files)
    Lean 4                    8,022 lines  (44 files)
    TypeScript                7,409 lines  (106 files)
    CSS                       5,013 lines  (31 files)
    Shell                     4,412 lines  (27 files)
    WGSL Shader               4,265 lines  (18 files)
    CUDA                      3,721 lines  (11 files)
    TOML                      2,244 lines  (40 files)

==============================================================================================================
